Title,Link,"Tag (to add more than one, duplicate the row)",Last updated,Content type,Content sub-type,link_title,link_content_id,link_type,Policies,Collections,Withdrawn,12-month timeline,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,Total unique pageviews,Highest month,Lowest month,Monthly average,Monthly median,Recommendation,Redirect/combine with which content url,Notes,Changes live yet?,Status code,Redirecting
Early years pupil premium and funding for 2-year-olds,https://www.gov.uk/government/consultations/early-years-pupil-premium-and-funding-for-2-year-olds,,23/10/2014,Consultation,Consultation outcome,schools-colleges-childrens-services/early-years,,department-for-education,childcare-and-early-education,,,,"1,457","3,693","1,755","1,625","1,067",685,524,425,271,734,549,464,"13,249","3,693",271,"1,104",710,current - no work needed,,,N/A,200,
Inspecting early years providers: reporting requirements for inspectors,https://www.gov.uk/government/publications/report-template-for-early-years-inspections-with-guidance,,02/11/2015,Publication,Form,,,ofsted,,"/government/collections/ofsteds-inspection-of-early-years-providers, /government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations",,,136,"2,853","1,939","1,158",763,948,962,629,467,956,778,"3,674","15,263","3,674",136,"1,272",952,current - no work needed,,,,200,
Become a childcare or children's social care provider: health declaration,https://www.gov.uk/government/publications/become-a-childcare-provider-health-declaration,,03/03/2013,Publication,Form,,,ofsted,,/government/collections/childrens-social-care-registration-forms,,,348,"3,511","3,268","3,551","3,027","3,142","3,284","3,225","2,530","2,908","2,673","2,444","33,911","3,551",348,"2,826","3,084",current - no work needed,,,,200,
Early years foundation stage profile results: 2013 to 2014,https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2013-to-2014,,16/10/2014,Publication,National Statistics,,,department-for-education,,/government/collections/statistics-early-years-foundation-stage-profile,,,"1,837","2,497","1,782","1,984","1,505","1,752","3,437","2,454",828,"1,706","1,512",833,"22,127","3,437",828,"1,844","1,767",current - no work needed,,,N/A,200,
Extending opportunity through the pupil premium,https://www.gov.uk/government/speeches/extending-opportunity-through-the-pupil-premium,,01/07/2015,Speech,Speech,,,department-for-education,education-of-disadvantaged-children,,,,,,,,,,,"3,329",271,310,329,214,"4,453","3,329",214,371,310,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Early years initial teacher training (ITT): a guide for providers,https://www.gov.uk/guidance/early-years-initial-teacher-training-a-guide-for-providers,,23/06/2015,Detailed guidance,Detailed guide,,,national-college-for-teaching-and-leadership,,/government/collections/initial-teacher-training,,,,,,505,"2,701","2,991","3,311","2,627","1,760","2,614","2,304","2,276","21,089","3,311",505,"1,757","2,614",current - no work needed,,,,200,
Parents to get complete picture of child’s development,https://www.gov.uk/government/news/parents-to-get-complete-picture-of-childs-development,,10/03/2015,News article,Press release,,,"department-for-education, department-of-health",childcare-and-early-education,,,,,,,"3,238",447,378,294,142,92,151,155,111,"5,008","3,238",92,417,155,current - no work needed,,,N/A,200,
Dedicated schools grant (DSG) 2015 to 2016,https://www.gov.uk/government/publications/dedicated-schools-grant-dsg-2015-to-2016,,17/11/2015,Publication,Guidance,schools-colleges-childrens-services/school-college-funding-finance,,education-funding-agency,school-and-college-funding-and-accountability,/government/collections/local-service-budgets-for-2015-to-2016,,,"3,132","1,663","1,030","1,915","1,253","1,084","1,146","2,037",934,"1,229","1,218","2,022","18,663","3,132",934,"1,555","1,241",current - no work needed,,,,200,
Childcare inspections and outcomes as at 31 March 2015,https://www.gov.uk/government/statistics/childcare-inspections-and-outcomes-as-at-31-march-2015,,28/10/2015,Publication,Official Statistics,,,ofsted,,/government/collections/early-years-and-childcare-statistics,,,,,,,,,,"3,122","1,037",895,"1,020","1,896","7,970","3,122",895,664,"1,037",current - no work needed,,,,200,
Ofsted pen portraits of Her Majesty's Inspectors (HMIs),https://www.gov.uk/government/publications/ofsted-pen-portraits-of-her-majestys-inspectors-hmis,,13/08/2015,Publication,Guidance,,,ofsted,,,,,211,897,761,"2,708",728,694,894,577,"3,003","1,069",767,791,"13,100","3,003",211,"1,092",779,current - no work needed,,,,200,
Early Years Register: preparing for your registration visit,https://www.gov.uk/government/publications/childcare-registration-form-early-years-register-preparing-for-your-registration-visit,,25/07/2012,Publication,Guidance,,,ofsted,,,,,811,"2,973","2,420","2,457","2,229","2,206","2,302","2,168","2,099","2,375","2,188","1,890","26,118","2,973",811,"2,176","2,218",out of date - redirect to current version,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england,,,302,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england
Early years educator (level 3): qualifications criteria,https://www.gov.uk/government/publications/early-years-educator-level-3-qualifications-criteria,,11/07/2013,Publication,Guidance,,,"department-for-education, national-college-for-teaching-and-leadership",childcare-and-early-education,/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,"1,207","2,212","2,094","2,409","2,038","2,276","2,821","2,947","1,807","2,582","2,503","2,213","27,109","2,947","1,207","2,259","2,244",current but needs work - improve now,,The content owners are updating this page. We will be considering making this into a detailed guide or an HTML publication. (Sara Head),,200,
Statistics: early years foundation stage profile,https://www.gov.uk/government/collections/statistics-early-years-foundation-stage-profile,,21/10/2015,Document collection,Collection,schools-colleges-childrens-services/data-collection-statistical-returns,,department-for-education,,,,,857,"1,083",743,971,706,784,"1,147",941,656,"1,581","2,927","2,241","14,637","2,927",656,"1,220",956,current - no work needed,,,N/A,200,
SEND: managing changes to legislation from September 2014,https://www.gov.uk/government/publications/send-managing-changes-to-legislation-from-september-2014--3,,27/08/2015,Publication,Guidance,schools-colleges-childrens-services/special-educational-needs-disabilities,,department-for-education,,/government/collections/departmental-advice-schools,,,,,,,,,,,"1,570","2,809","1,014",759,"6,152","2,809",759,513,"1,292",current - no work needed,,,N/A,200,
Children in need and child protection: quality of early help and social work assessments,https://www.gov.uk/government/publications/children-in-need-and-child-protection-quality-of-early-help-and-social-work-assessments,,04/08/2015,Publication,Research and analysis,,,ofsted,,"/government/collections/ofsted-social-care-survey-reports, /government/collections/ofsted-early-years-survey-reports",,,,,,,,,,,"2,799",398,170,187,"3,554","2,799",170,296,292,current - no work needed,,,,200,
Extra funding to prepare for the early years pupil premium,https://www.gov.uk/government/news/extra-funding-to-prepare-for-the-early-years-pupil-premium,,13/02/2015,News article,Press release,,,department-for-education,childcare-and-early-education,,,,,,"2,770","1,069","1,116",860,791,560,352,"1,096",772,604,"9,990","2,770",352,832,826,current - no work needed,,,N/A,200,
How to register on the Early Years Register,https://www.gov.uk/government/publications/how-to-register-on-the-early-years-register,,25/11/2014,Publication,Guidance,,,ofsted,,,,,278,"1,519","1,204","1,338","1,114","1,955","2,752","2,540","2,100","2,580","2,405","2,265","22,050","2,752",278,"1,838","2,028",out of date - redirect to current version,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england,,,302,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england
Early years report 2015,https://www.gov.uk/government/speeches/early-years-report-2015,,13/07/2015,Speech,Speech,,,ofsted,,,,,,,,,,,,"2,703",431,372,270,199,"3,975","2,703",199,331,372,current - no work needed,,,,200,
£25 million injection to help ‘life-changing’ children’s services,https://www.gov.uk/government/news/25-million-injection-to-help-life-changing-childrens-services,,25/03/2015,News article,Press release,,,department-for-education,childcare-and-early-education,,,,,,,"2,661","1,131",503,361,251,191,304,307,306,"6,015","2,661",191,501,307,current - no work needed,,,N/A,200,
"Early years providers, places and inspection outcomes statistics",https://www.gov.uk/government/consultations/early-years-providers-places-and-inspection-outcomes-statistics,,23/02/2015,Consultation,Consultation outcome,,,ofsted,,,,,16,74,"2,613","1,104",87,69,54,49,26,31,11,20,"4,154","2,613",11,346,52,current - no work needed,,,,200,
Nicky Morgan and David Walliams launch literacy drive,https://www.gov.uk/government/news/nicky-morgan-and-david-walliams-launch-literacy-drive,,24/09/2015,News article,Press release,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,,,,,,,,,,"2,607",642,197,"3,446","2,607",197,287,642,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
School funding for 2016 to 2017,https://www.gov.uk/government/speeches/school-funding-for-2016-to-2017,,16/07/2015,Speech,Statement to Parliament,,,department-for-education,school-and-college-funding-and-accountability,,,,,,,,,,,"2,596",567,376,216,226,"3,981","2,596",216,332,376,current - no work needed,,,N/A,200,
All schools to list childcare options,https://www.gov.uk/government/news/all-schools-to-list-childcare-options,,23/03/2015,News article,Press release,,,department-for-education,childcare-and-early-education,,,,,,,"2,584",626,278,276,136,72,224,160,114,"4,470","2,584",72,372,224,current - no work needed,,,N/A,200,
Early education and childcare,https://www.gov.uk/government/publications/early-education-and-childcare--2,,08/09/2014,Publication,Statutory guidance,,,department-for-education,childcare-and-early-education,/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,"1,024","2,509","2,208","2,577","2,216","2,124","1,831","1,615","1,317","2,201","2,041","2,059","23,722","2,577","1,024","1,977","2,092",current but needs work - improve now,,"We need to improve the detail text on the page (it refers to 'new' elements which are no longer new, and that's now misleading). We also need to update the 'about this guidance' section of the document because it refers to an old version as the 'current' version. It makes the guide appear out of date.",N/A,200,
EYFS progress check at age 2: a know how guide,https://www.gov.uk/government/publications/a-know-how-guide-the-eyfs-progress-check-at-age-two,,25/03/2012,Publication,Guidance,,,department-for-education,childcare-and-early-education,/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,"1,171","2,502","2,106","2,451","2,041","2,156","2,068","1,830","1,400","2,387","2,534","2,567","25,213","2,567","1,171","2,101","2,131",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2,Is this up to date/needed? The EYFS framework includes information on the progress check at age 2. I suggest redirecting there.,Yes,302,https://www.gov.uk/government/publications/early-years-foundation-stage-framework--2
Assessment principles: school curriculum,https://www.gov.uk/government/publications/assessment-principles-school-curriculum,,16/04/2014,Publication,Guidance,,,department-for-education,"school-and-college-qualifications-and-curriculum, childcare-and-early-education",/government/collections/national-curriculum,,,"1,469","2,485","1,869","1,965","1,590","1,649","1,476","1,012",743,"1,093","1,083","1,140","17,574","2,485",743,"1,464","1,472",not relevant to topic - remove from list,,This is not relevant ot early years. Remove from list.,N/A,200,
Schools given £5 million to work with local nurseries,https://www.gov.uk/government/news/schools-given-5-million-to-work-with-local-nurseries,,13/03/2015,News article,Press release,,,department-for-education,childcare-and-early-education,,,,,"1,280","2,394","1,200",190,192,138,95,36,65,49,50,"5,689","2,394",36,474,138,current - no work needed,,,N/A,200,
Speech to Association of School and College Leaders Conference 2015,https://www.gov.uk/government/speeches/speech-to-association-of-school-and-college-leaders-conference-2015,,20/03/2015,Speech,Speech,,,ofsted,,,,,,,,"2,386","1,415",522,193,147,121,167,136,118,"5,205","2,386",118,434,167,current - no work needed,,,,200,
More children than ever starting school ready to learn,https://www.gov.uk/government/news/more-children-than-ever-starting-school-ready-to-learn,,13/10/2015,News article,Press release,,,department-for-education,childcare-and-early-education,,,,,,,,,,,,,,"2,329",407,"2,736","2,329",407,228,"1,368",current - no work needed,,,N/A,200,
Early years qualifications finder,https://www.gov.uk/guidance/early-years-qualifications-finder,,22/08/2014,Detailed guidance,Detailed guide,,,national-college-for-teaching-and-leadership,,,,,"1,215","2,179","1,966","2,319","2,218","1,913","2,280","1,949","1,359","2,288","2,160","2,073","23,919","2,319","1,215","1,993","2,116",current but needs work - improve now,,"This page is being updated as a matter of urgency. This page links to the qualifications finder, which is a tool on https://www.education.gov.uk/eypqd/ - should this URL be included in the audit? (Sara Head)",,200,
SEND: guide for early years settings,https://www.gov.uk/government/publications/send-guide-for-early-years-settings,,05/09/2014,Publication,Guidance,"schools-colleges-childrens-services/early-years, schools-colleges-childrens-services/special-educational-needs-disabilities",,department-for-education,special-educational-needs-and-disability-send,,,,"1,633","1,868","1,500","1,540","2,262","1,375","1,042",846,708,"1,326","1,403","1,264","16,767","2,262",708,"1,397","1,389",current - no work needed,,,N/A,200,
Sam Gyimah: we are in a golden age of childcare,https://www.gov.uk/government/speeches/sam-gyimah-we-are-in-a-golden-age-of-childcare,,11/11/2015,Speech,Speech,,,department-for-education,childcare-and-early-education,,,,,,,,,,,,,,,"2,190","2,190","2,190","2,190",182,"2,190",current - no work needed,,,N/A,200,
Complaints about Ofsted,https://www.gov.uk/government/publications/complaints-about-ofsted,,07/09/2015,Publication,Policy paper,,,ofsted,,,,,73,405,299,390,225,206,296,211,153,"2,170",654,671,"5,753","2,170",73,479,298,current - no work needed,,,,200,
Early years Teachers' Standards,https://www.gov.uk/government/publications/early-years-teachers-standards,,11/07/2013,Publication,Guidance,,,"department-for-education, national-college-for-teaching-and-leadership",childcare-and-early-education,/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,902,"1,452","1,265","2,068","1,789","2,011","1,948","1,773","1,312","1,927","2,152","2,005","20,604","2,152",902,"1,717","1,858",current - no work needed,,Confirmed that this is up to date. We will be considering making this into a detailed guide or an HTML publication. (Sara Head),N/A,200,
Education services grant 2015 to 2016,https://www.gov.uk/government/publications/education-services-grant-2015-to-2016,,25/11/2015,Publication,Guidance,schools-colleges-childrens-services/school-college-funding-finance,,"department-for-education, education-funding-agency",school-and-college-funding-and-accountability,,,,"1,685",916,635,688,431,"1,162",873,476,998,654,454,"2,095","11,067","2,095",431,922,780,current - no work needed,,This does include early years. Please keep on list.,N/A,200,
Early years foundation stage (EYFS),https://www.gov.uk/government/publications/early-years-foundation-stage-eyfs,,12/06/2015,Publication,Policy paper,,,department-for-education,childcare-and-early-education,,,,,,,,,,"2,029","1,016",645,"1,005",962,638,"6,295","2,029",638,525,984,duplicate - combine and redirect this item to another item that belongs to a different organisation,https://www.gov.uk/early-years-foundation-stage,The information on this page is mostly a duplicate of the information on the very popular citizen-facing page on the EYFS and the EYFS framework itself. I suggest redirecting to the citizen-facing page as it gives an overview.,Yes,302,https://www.gov.uk/early-years-foundation-stage
2010 to 2015 government policy: childcare and early education,https://www.gov.uk/government/publications/2010-to-2015-government-policy-childcare-and-early-education,,08/05/2015,Publication,Policy paper,,,"department-for-education, hm-treasury",childcare-and-early-education,,,,,,,,,"2,023",750,332,243,421,639,429,"4,837","2,023",243,403,429,current - no work needed,,,N/A,200,
Tickell review reports,https://www.gov.uk/government/collections/tickell-review-reports,,30/03/2011,Document collection,Collection,schools-colleges-childrens-services/early-years,,department-for-education,childcare-and-early-education,,,,"1,528","1,759","1,301","1,901","1,848","1,807","1,024",547,372,633,"1,251","1,429","15,400","1,901",372,"1,283","1,365",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/the-early-years-foundations-for-life-health-and-learning-an-independent-report-on-the-early-years-foundation-stage-to-her-majestys-government,"Collection pages are for gropus of 3 or more documents. This collection only has 2 documents. I suggest putting both the documents on this page on a single publication page, and redirecting the collection there.",Yes,302,https://www.gov.uk/government/publications/the-early-years-foundations-for-life-health-and-learning-an-independent-report-on-the-early-years-foundation-stage-to-her-majestys-government
2016 Early years foundation stage: assessment and reporting arrangements (ARA): Section 2: Early years foundation stage profile,https://www.gov.uk/guidance/2016-early-years-foundation-stage-assessment-and-reporting-arrangements-ara/section-2-early-years-foundation-stage-profile,,,Manual section,,,,standards-and-testing-agency,,,,,,,,,,,,,,615,"1,872","1,058","3,545","1,872",615,295,"1,058",,,,,200,
Inspecting registered childcare providers: information for parents,https://www.gov.uk/government/publications/information-for-parents-about-ofsteds-role-in-regulating-childcare,,11/03/2015,Publication,Guidance,,,ofsted,,/government/collections/ofsted-inspections-of-registered-childcare-providers,,,136,347,287,"1,868",463,765,701,654,475,740,677,629,"7,742","1,868",136,645,642,current - no work needed,,,,200,
Non-association independent school inspection handbook from September 2015,https://www.gov.uk/government/publications/non-association-independent-school-inspection-handbook-from-september-2015,,28/08/2015,Publication,Guidance,,,ofsted,,/government/collections/ofsteds-inspections-of-non-association-independent-schools,,,,,,,,,"1,253",748,709,"1,839","1,048",731,"6,328","1,839",709,527,898,current - no work needed,,,,200,
EYFSP attainment by pupil characteristics: 2013 to 2014,https://www.gov.uk/government/statistics/eyfsp-attainment-by-pupil-characteristics-2013-to-2014,,20/11/2014,Publication,National Statistics,,,department-for-education,,/government/collections/statistics-early-years-foundation-stage-profile,,,"1,834","1,159",795,854,629,694,871,646,425,787,584,461,"9,739","1,834",425,812,740,current - no work needed,,,N/A,200,
Nick Gibb: the importance of phonics,https://www.gov.uk/government/speeches/nick-gibb-the-importance-of-phonics,,28/03/2015,Speech,Speech,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,,,,"1,315","1,831","1,192",412,171,50,133,160,201,"5,465","1,831",50,455,201,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Early education is better than ever but attainment gap remains,https://www.gov.uk/government/news/early-education-is-better-than-ever-but-attainment-gap-remains,,13/07/2015,News article,Press release,,,ofsted,,,,,,,,,,,,"1,825",342,235,93,97,"2,592","1,825",93,216,235,current - no work needed,,,,200,
Ofsted’s inspection workforce from September 2015,https://www.gov.uk/government/publications/ofsteds-inspection-workforce-from-september-2015,,21/09/2015,Publication,Guidance,,,ofsted,,,,,,,,,,,,,,"1,778",516,178,"2,472","1,778",178,206,516,current - no work needed,,,,200,
Changes in Ofsted’s early education directorate from September 2015: letter to the early years sector,https://www.gov.uk/government/publications/changes-in-ofsteds-early-education-directorate-from-september-2015-letter-to-the-early-years-sector,,27/08/2015,Publication,Correspondence,,,ofsted,,,,,,,,,,,,,"1,763",980,136,150,"3,029","1,763",136,252,565,current - no work needed,,,,200,
Fairer schools funding: arrangements for 2015 to 2016,https://www.gov.uk/government/publications/fairer-schools-funding-arrangements-for-2015-to-2016,,20/03/2015,Publication,Guidance,schools-colleges-childrens-services/school-college-funding-finance,,"department-for-education, education-funding-agency",school-and-college-funding-and-accountability,,,,"1,473","1,754","1,081","1,553",653,625,798,750,397,617,581,775,"11,057","1,754",397,921,762,current - no work needed,,,N/A,200,
Early years and childcare inspections: resources for inspectors and other organisations,https://www.gov.uk/government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations,,12/12/2014,Document collection,Collection,,,ofsted,,,,,726,"1,402",965,"1,332",804,870,"1,096",712,589,"1,753","1,181",925,"12,355","1,753",589,"1,030",945,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/collections/ofsteds-inspection-of-early-years-providers,,,302,https://www.gov.uk/government/collections/ofsteds-inspection-of-early-years-providers
Parents to get complete picture of child development,https://www.gov.uk/government/news/parents-to-get-complete-picture-of-child-development,,21/11/2014,News article,Press release,,,"department-for-education, department-of-health",children-s-health,,,,"1,730",342,258,280,133,125,227,127,84,92,126,114,"3,638","1,730",84,303,130,current - no work needed,,"Press release, so must keep, even though the information in this PN is basically a duplicate of another story we issued a year later. ",N/A,200,
Childcare inspections: providers judged inadequate or not meeting requirements,https://www.gov.uk/government/publications/childcare-the-next-steps-when-a-provider-is-judged-inadequate-or-is-not-complying-with-requirements,,13/08/2015,Publication,Guidance,,,ofsted,,,,,73,270,225,302,186,233,282,225,"1,699",902,485,355,"5,237","1,699",73,436,276,current - no work needed,,,,200,
2016 Early years foundation stage: assessment and reporting arrangements (ARA): Section 1: Introduction,https://www.gov.uk/guidance/2016-early-years-foundation-stage-assessment-and-reporting-arrangements-ara/section-1-introduction,,,Manual section,,,,standards-and-testing-agency,,,,,,,,,,,,,,598,"1,685",479,"2,762","1,685",479,230,598,,,,,200,
Early years foundation stage profile return: how to submit data,https://www.gov.uk/guidance/early-years-foundation-stage-profile,,28/05/2015,Detailed guidance,Detailed guide,schools-colleges-childrens-services/data-collection-statistical-returns,,department-for-education,,,,,,,,,,337,"1,680",227,108,168,234,144,"2,898","1,680",108,242,227,current but needs work - improve next version,,"We don't have dates for the 2016 collection, but once we do we'll update the guide.",Yes,200,
Are you ready? Good practice in school readiness,https://www.gov.uk/government/publications/are-you-ready-good-practice-in-school-readiness,,03/04/2014,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-early-years-survey-reports,,,,,,19,"1,440","1,665","1,487",822,580,"1,107","1,356","1,335","9,811","1,665",19,818,"1,335",current but needs work - improve now,,"Make title more specific eg ""Helping disadvantaged children start school""",,200,
Pupil premium: virtual school heads’ responsibilities,https://www.gov.uk/guidance/pupil-premium-virtual-school-heads-responsibilities,,19/03/2015,Detailed guidance,Detailed guide,"schools-colleges-childrens-services/looked-after-children, schools-colleges-childrens-services/school-college-funding-finance, schools-colleges-childrens-services/support-for-children-young-people",,department-for-education,looked-after-children-and-adoption,,,,602,"1,158","1,595","1,598","1,105","1,041","1,034",791,342,"1,172","1,121","1,045","12,604","1,598",342,"1,050","1,075",current but needs work - improve now,,Remove refernces to last financial year,Yes,200,
Using the physical environment as a tool for teaching,https://www.gov.uk/government/publications/using-the-physical-environment-as-a-tool-for-teaching,,13/07/2015,Publication,Research and analysis,,,ofsted,,"/government/collections/ofsted-examples-of-good-practice-in-early-years, /government/collections/ofsteds-early-years-report-2015",,,,,,,,,,"1,583",373,549,242,166,"2,913","1,583",166,243,373,current - no work needed,,,,200,
Inspecting registered childcare providers: framework,https://www.gov.uk/government/publications/framework-for-the-regulation-of-provision-on-the-childcare-register,,05/03/2015,Publication,Guidance,,,ofsted,,"/government/collections/ofsted-inspections-of-registered-childcare-providers, /government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations",,,165,448,423,"1,563",508,522,576,435,366,"1,120",516,463,"7,105","1,563",165,592,486,current but needs work - improve next version,,May be updated or amalgamated into new handbook on childcare register inspections,,200,
Special educational needs support: families to be given personal budgets,https://www.gov.uk/government/news/special-educational-needs-support-families-to-be-given-personal-budgets,,15/05/2012,News article,Press release,,,department-for-education,special-educational-needs-and-disability-send,,,,"1,098","1,547","1,003",992,729,936,818,522,304,523,569,556,"9,597","1,547",304,800,774,current - no work needed,,,N/A,200,
Dedicated schools grant (DSG) 2014 to 2015,https://www.gov.uk/government/publications/dedicated-schools-grant-2014-to-2015,,21/05/2015,Publication,Guidance,"schools-colleges-childrens-services/early-years, schools-colleges-childrens-services/school-college-funding-finance",,"department-for-education, education-funding-agency",school-and-college-funding-and-accountability,,,,"1,536","1,269","1,084","1,308",527,"1,028",729,579,343,282,236,231,"9,152","1,536",231,763,654,current - no work needed,,,N/A,200,
Schools block funding allocations 2015 to 2016,https://www.gov.uk/government/publications/schools-block-funding-allocations-2015-to-2016,,15/10/2015,Publication,Transparency data,,,education-funding-agency,,,,,,,,,,,,,,,"1,531",390,"1,921","1,531",390,160,960,current - no work needed,,,,200,
Learning together through play in the early years,https://www.gov.uk/government/publications/learning-together-through-play-in-the-early-years,,13/07/2015,Publication,Research and analysis,,,ofsted,,"/government/collections/ofsted-examples-of-good-practice-in-early-years, /government/collections/ofsteds-early-years-report-2015",,,,,,,,,,"1,509",448,585,488,329,"3,359","1,509",329,280,488,current but needs work - improve now,,Description and summary can be more specific and plain English.,,200,
"The early years: foundations for life, health and learning - Tickell review",https://www.gov.uk/government/publications/the-early-years-foundations-for-life-health-and-learning-an-independent-report-on-the-early-years-foundation-stage-to-her-majestys-government,,30/03/2011,Publication,Independent report,,,department-for-education,childcare-and-early-education,"/government/collections/reform-of-education-and-childcare-from-birth-to-5-years, /government/collections/tickell-review-reports",,,"1,273","1,449","1,028","1,492","1,420","1,317",689,360,297,526,"1,067","1,097","12,015","1,492",297,"1,001","1,082",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/the-early-years-foundation-stage-review-report-on-the-evidence,"It would make sense to have both reports from the Tickell review on the same page, as people interested in one are likely to be interested in the other. I suggest addibg the report on the evidence to this page.",yes,200,
School and Early Years Finance (England) Regulations 2015,https://www.gov.uk/government/consultations/school-and-early-years-finance-england-regulations-2015,,11/09/2015,Consultation,Open consultation,schools-colleges-childrens-services/school-college-funding-finance,,department-for-education,,,,,,,,,,,,,,"1,486",687,339,"2,512","1,486",339,209,687,current - no work needed,,,N/A,200,
Early years provision in schools: apply for disqualification waiver,https://www.gov.uk/government/publications/early-years-provision-in-schools-apply-for-disqualification-waiver,,02/06/2015,Publication,Form,,,ofsted,,/government/collections/ofsted-inspections-of-maintained-schools,,,,,951,"1,042",447,83,"1,485",523,183,340,210,230,"5,494","1,485",83,458,394,current - no work needed,,,,200,
Parents as partners in teaching,https://www.gov.uk/government/publications/parents-as-partners-in-teaching,,13/07/2015,Publication,Research and analysis,,,ofsted,,"/government/collections/ofsted-examples-of-good-practice-in-early-years, /government/collections/ofsteds-early-years-report-2015",,,,,,,,,,"1,482",335,596,199,159,"2,771","1,482",159,231,335,current - no work needed,,,,200,
How to be outstanding - a nursery's guide to making the grade,https://www.gov.uk/government/publications/how-to-be-outstanding-a-nurserys-guide-to-making-the-grade,,03/07/2014,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,646,707,792,536,869,"1,473",933,678,966,935,891,"9,426","1,473",536,786,869,current - no work needed,,,,200,
Edward Timpson addresses CDC annual conference,https://www.gov.uk/government/speeches/edward-timpson-addresses-cdc-annual-conference,,12/11/2015,Speech,Speech,,,department-for-education,special-educational-needs-and-disability-send,,,,,,,,,,,,,,,"1,465","1,465","1,465","1,465",122,"1,465",current - no work needed,,,N/A,200,
Provision for children under 5 years of age: January 2015,https://www.gov.uk/government/statistics/provision-for-children-under-5-years-of-age-january-2015,,23/07/2015,Publication,National Statistics,,,department-for-education,,/government/collections/statistics-childcare-and-early-years,,,,,,,,,818,"1,439",538,499,517,507,"4,318","1,439",499,360,528,current - no work needed,,,N/A,200,
Inspection outcomes of early years providers by staff qualifications,https://www.gov.uk/government/publications/inspection-outcomes-of-early-years-providers-by-staff-qualifications--2,,15/10/2015,Publication,Research and analysis,,,ofsted,,/government/collections/early-years-and-childcare-statistics,,,,,,,,,,,,,"1,426",634,"2,060","1,426",634,172,"1,030",current - no work needed,,,,200,
Early years benchmarking tool,https://www.gov.uk/government/publications/early-years-benchmarking-tool,,27/03/2015,Publication,Guidance,,,department-for-education,childcare-and-early-education,,,,890,583,368,"1,423","1,074",764,596,391,292,350,319,"1,176","8,226","1,423",292,686,590,current - no work needed,,,N/A,200,
Free childcare extended to working families on low incomes,https://www.gov.uk/government/news/free-childcare-extended-to-working-families-on-low-incomes,,02/09/2013,News article,Press release,,,"department-for-education, deputy-prime-ministers-office","education-of-disadvantaged-children, childcare-and-early-education, social-mobility",,,,711,"1,416","1,328","1,207",801,996,"1,194","1,206",742,821,493,351,"11,266","1,416",351,939,908,current - no work needed,,,N/A,200,
Teaching young children to develop their communication skills,https://www.gov.uk/government/publications/teaching-young-children-to-develop-their-communication-skills,,13/07/2015,Publication,Research and analysis,,,ofsted,,"/government/collections/ofsted-examples-of-good-practice-in-early-years, /government/collections/ofsteds-early-years-report-2015",,,,,,,,,,"1,365",398,516,999,810,"4,088","1,365",398,341,810,current - no work needed,,,,200,
